84,74,64,32,29,285,22.4,1,215,0.7,315,23.2,445,33.2,615,91.9,4602
60.3,54,45,0,0,315,30.2,2,205,0.5,345,31.8,150,0.1,325,6.7,3133.7
95,72.8,76,0,0,469,76.2,3,410,29.3,195,3.9,460,38,360,12.5,4628.2
95,70,74,50,0,377,49,2,400,26,365,38.1,575,75.7,500,59.9,5178
82.3,68,59,0,0,131,2.3,3,315,6.9,155,1.7,300,4.5,440,36.3,3764.7
87,57,56,0,0,346,39.3,3,350,12.7,415,55.1,460,38,440,36.3,4351
95,68,71,10,0,408,58.9,3,455,46.1,405,51.7,575,75.7,455,42.1,5034
83,73,56,3,0,254,15.7,0,335,9.9,185,3.2,325,7,315,5.5,3349
85,72,71,23,0,377,49,3,470,52,505,81.7,490,48.3,430,32.6,5071
76.13,75.6,58,0,0,438,67.9,2,340,10.8,255,10.6,490,48.3,430,32.6,4200.57
77.9,61.8,67,10,0,438,67.9,3,400,26,365,38.1,460,38,370,14.7,4523.3
78,70,70,3,0,346,39.3,3,605,91.7,345,31.8,300,4.5,615,91.9,4740
75,60,70,0,0,254,15.7,2,410,29.3,355,34.9,270,2.5,360,12.5,3854
86.5,69,53,18,0,346,39.3,3,625,94.3,395,48.3,225,0.9,560,80.2,4729.5
92,70,60,0,0,346,39.3,3,460,48,315,23.2,300,4.5,545,75.8,4504
94,61,74,0,-2,254,15.7,0,215,0.7,395,48.3,560,71.4,510,63.7,3977
71,75,60,3,0,408,58.9,0,180,0.2,145,1.4,120,0.1,510,63.7,3244
47.5,77.8,70,0,0,408,58.9,3,340,10.8,345,31.8,460,38,430,32.6,4280.7
56,58,60,3,0,377,49,2,290,4.2,175,2.6,225,0.9,350,10.6,3370
69,56.2,61,5,0,346,39.3,2,510,67.2,335,28.8,560,71.4,525,69.1,4356.8
95,79.4,67,50,0,346,39.3,3,410,29.3,405,51.7,710,96.9,500,59.9,5533.6
80,61,55,0,0,223,10.5,3,495,61.7,385,44.9,310,5.4,430,32.6,4147
76,59,54,0,0,346,39.3,3,375,18.6,235,7.7,445,33.2,560,80.2,4202
86,65,71,0,0,285,22.4,3,445,42.2,275,14.1,370,13.9,475,50,4388
79.1,68.2,63,0,0,408,58.9,3,325,8.3,165,2.1,415,24.3,280,2.6,4025.7
94,74,63,0,15,315,30.2,3,480,55.9,375,41.5,460,38,440,36.3,4824
79,62,45,0,0,469,76.2,2,580,87.3,385,44.9,445,33.2,595,88.5,4508
54,54,58,3,0,315,30.2,2,310,6.2,335,28.8,370,13.9,405,24.2,3616
92,67,74,65,15,285,22.4,0,400,26,565,92.3,535,63.6,630,93.9,5232
82,67,69,0,0,408,58.9,1,425,34.6,285,16.1,400,20.4,465,46,4125
75,70,70,0,0,346,39.3,3,460,48,385,44.9,400,20.4,535,72.6,4601
